Nom,Description,Type,Caractéristiques,Couleur,AnchorID,Age,Source,Periode,URLs,WIkipédia,ValeurWiki,Vaincre-phobie,ValeurVP,Sites,ValeurSite,Langues,Popularite
Amaxophobie,Peur de la conduite.,Troubles psychologiques,Transport,#404097,amaxophobie-73,Adulte,Inconnu,Ancien,http://fr.wiktionary.org/wiki/amaxophobie,Non,20,Oui,10,Oui,10,1,3
Anginophobie,"Peur de l’étouffement, notamment par des angines de poitrine.",Troubles psychologiques,Maladie,#ce92b9,anginophobie-51,Adulte,Traumatisme,Ancien,http://fr.wikipedia.org/wiki/Anginophobie,Oui,10,Oui,10,Non,20,2,3
Angrophobie,Peur de se mettre en colère en public.,Troubles psychologiques,Social,#c4a67a,angrophobie-98,Adulte,Inconnu,Ancien,http://dictionnaire.reverso.net/francais-definition/angrophobie,Non,20,Non,20,Non,20,1,4
Anthelmophobie,Peur des vers.,Phobies animales,Maladie,#915627,anthelmophobie-76,Adulte / Enfant,Traumatisme / Inconnu,Ancien,http://www.linternaute.com/dictionnaire/fr/definition/anthelmophobie/,Non,20,Non,20,Non,20,1,4
Anthropophobie,"Peur des gens ou d'être en leur compagnie, une forme de phobie sociale.",Troubles psychologiques,Social,#c4a67a,anthropophobie-40,Adulte,Inconnu,Ancien,http://fr.wikipedia.org/wiki/Anthropophobie,Oui,10,Non,20,Non,20,14,3
Anuptaphobie,Peur du célibat.,Troubles psychologiques,Social,#c4a67a,anuptaphobie-69,Adulte,Inconnu,Moderne,http://fr.wiktionary.org/wiki/anuptaphobie,Non,20,Oui,10,Oui,10,1,3
Apéirophobie,Peur de l'infini.,Troubles psychologiques,Mythe et religion,#c3b766,apeirophobie-93,Enfant,Inconnu,Ancien,http://www.linternaute.com/dictionnaire/fr/definition/apeirophobie/,Non,20,Non,20,Non,20,1,4
Apiphobie,Peur des abeilles.,Phobies animales,Maladie,#915628,apiphobie-31,Adulte / Enfant,Traumatisme / Inconnu,Ancien,http://www.vaincre-phobie.com/587-apiphobie-peur-des-abeilles.html,Oui,10,Oui,10,Oui,10,5,2
Apopathodiaphulatophobie,Peur d'être constipé ou de la constipation en elle-même.,Troubles psychologiques,Maladie,#ce92b10,apopathodiaphulatophobie-88,Adulte / Enfant,Traumatisme,Ancien,http://fr.wiktionary.org/wiki/apopathodiaphulatophobie,Non,20,Non,20,Non,20,1,4
Aquaphobie,Peur de l'eau.,Troubles psychologiques,Elements naturels,#49684a,aquaphobie-07,Adulte,Traumatisme / Inconnu,Ancien,http://fr.wikipedia.org/wiki/Aquaphobie,Oui,10,Oui,10,Oui,10,19,1
Arachnophobie,Peur des araignées.,Phobies animales,Maladie,#915629,arachnophobie-02,Adulte / Enfant,Traumatisme / Inconnu,Ancien,http://fr.wikipedia.org/wiki/Arachnophobie,Oui,10,Oui,10,Oui,10,33,1
Asthénophobie,Peur de s'évanouir.,Troubles psychologiques,Maladie,#ce92b11,asthenophobie-61,Adulte,Traumatisme,Ancien,http://fr.wiktionary.org/wiki/asth%C3%A9nophobie,Non,20,Oui,10,Non,20,1,3
Astraphobie,Peur du tonnerre.,Troubles psychologiques,Elements naturels,#49684a,astraphobie-06,Adulte / Enfant,Traumatisme,Ancien,http://fr.wikipedia.org/wiki/Astraphobie,Oui,10,Oui,10,Oui,10,19,1
Athazagoraphobie,Peur d'être oublié ou ignoré.,Troubles psychologiques,Social,#c4a67a,athazagoraphobie-70,Adulte / Enfant,Inconnu,Moderne,http://www.linternaute.com/dictionnaire/fr/definition/athazagoraphobie/,Non,20,Non,20,Oui,10,1,3
Atychiphobie,Peur de l’échec.,Troubles psychologiques,Social,#c4a67a,atychiphobie-99,Adulte,Traumatisme,Ancien,http://dictionnaire.reverso.net/francais-definition/atychiphobie,Non,20,Non,20,Non,20,1,4
Automysophobie,"Peur d'être sale, de sentir mauvais.",Troubles psychologiques,Maladie,#ce92b12,automysophobie-62,Adulte,Inconnu,Moderne,http://fr.wiktionary.org/wiki/automysophobie,Non,20,Oui,10,Oui,10,1,3
Autophobie,Peur de la solitude.,Troubles psychologiques,Social,#c4a67a,autophobie-13,Adulte / Enfant,Inconnu,Moderne,http://fr.wikipedia.org/wiki/Autophobie,Oui,10,Oui,10,Oui,10,15,1
Aviophobie,Peur de prendre l'avion.,Troubles psychologiques,Transport,#404098,aviophobie-04,Adulte,Traumatisme,Moderne,http://fr.wikipedia.org/wiki/Aviophobie,Oui,10,Oui,10,Oui,10,26,1
Bacillophobie,"Peur des bacilles, des bactéries.",Troubles psychologiques,Maladie,#ce92b13,bacillophobie-22,Adulte,Inconnu,Moderne,http://fr.wikipedia.org/wiki/Mysophobie,Oui,10,Oui,10,Non,20,17,2
Basophobie,Peur de marcher.,Troubles psychologiques,Social,#c4a67a,basophobie-47,Adulte / Enfant,Traumatisme,Ancien,http://fr.wiktionary.org/wiki/basophobie,Oui,10,Oui,10,Non,20,4,3
Bélénophobie,Peur des aiguilles.,Troubles psychologiques,Objet,#821b23,belenophobie-68,Adulte / Enfant,Traumatisme,Ancien,http://fr.wiktionary.org/wiki/b%C3%A9l%C3%A9nophobie,Non,20,Oui,10,Oui,10,1,3
Blemmophobie,Peur du regard des autres.,Troubles psychologiques,Social,#c4a67a,blemmophobie-71,Adulte,Traumatisme,Ancien,http://fr.wiktionary.org/wiki/blemmophobie,Non,20,Non,20,Oui,10,1,3
Borbophobie,Peur des gargouillements.,Troubles psychologiques,Maladie,#ce92b14,borbophobie-63,Adulte,Inconnu,Ancien,http://www.vaincre-phobie.com/544-borbophobie-peur-des-gargouillements.html,Non,20,Oui,10,Oui,10,1,3
Brontophobie,Peur du tonnerre,Troubles psychologiques,Elements naturels,#49684a,brontophobie-60,Adulte / Enfant,Traumatisme,Ancien,http://fr.wiktionary.org/wiki/brontophobie,non,20,Non,20,Oui,10,1,3
Cancérophobie,Peur du cancer.,Troubles psychologiques,Maladie,#ce92b15,cancerophobie-64,Adulte,Traumatisme,Moderne,http://www.vaincre-phobie.com/545-cancerophobie-peur-du-cancer.html,Non,20,Oui,10,Oui,10,1,3
Carpophobie,Peur des fruits.,Troubles psychologiques,Gustatif,#3c3a40,carpophobie-50,Adulte / Enfant,Inconnu,Moderne,http://fr.wikipedia.org/wiki/Carpophobie,Oui,10,Oui,10,Oui,10,2,3
Catapédaphobie,Peur de grimper en hauteur.,Troubles psychologiques,Vertige,#f49232,catapedaphobie-108,Adulte,Inconnu,Ancien,http://fr.wiktionary.org/wiki/catap%C3%A9daphobie,Non,20,Non,20,Non,20,1,4
Chiroptophobie,Peur des chauves-souris.,Phobies animales,Maladie,#915630,chiroptophobie-77,Adulte / Enfant,Traumatisme / Inconnu,Ancien,http://fr.wikipedia.org/wiki/Liste_des_phobies,Non,20,Non,20,Non,20,1,4
Claustrophobie,Peur des espaces confinés,Troubles psychologiques,Social,#c4a67a,claustrophobie-17,Adulte,Traumatisme,Ancien,http://fr.wikipedia.org/wiki/Claustrophobie,Oui,10,Non,20,Oui,10,44,2
Climacophobie,"Peur d'utiliser des escaliers, surtout de les descendre.",Troubles psychologiques,Vertige,#f49233,climacophobie-109,Adulte / Enfant,Traumatisme,Ancien,http://stress.comprendrechoisir.com/astuce/voir1Page/262170/10-phobies-improbables-plus-genantes-qu-on-le-croit,Non,20,Non,20,Non,20,1,4
Coulrophobie,Peur des clowns.,Troubles psychologiques,Mythe et religion,#c3b767,coulrophobie-24,Adulte / Enfant,Traumatisme,Moderne,http://fr.wikipedia.org/wiki/Coulrophobie,Oui,10,Non,20,Oui,10,16,2
Cuniculophobie,Peur des lapins.,Phobies animales,Maladie,#915631,cuniculophobie-78,Adulte / Enfant,Traumatisme / Inconnu,Ancien,http://www.madmoizelle.com/cuniculophobie-13080,Non,20,Non,20,Non,20,1,4
Cyclophobie,Peur de monter sur une bicyclette ou tout autre véhicule à deux roues.,Troubles psychologiques,Transport,#404099,cyclophobie-107,Adulte / Enfant,Inconnu,Moderne,http://dictionnaire.reverso.net/francais-definition/cyclophobie,Non,20,Non,20,Non,20,1,4
Cynophobie,Peur des chiens.,Phobies animales,Maladie,#915632,cynophobie-08,Adulte / Enfant,Traumatisme / Inconnu,Ancien,http://www.vaincre-phobie.com/591-cynophobie-peur-des-chiens.html,Oui,10,Oui,10,Oui,10,18,1
Dysmorphophobie,Peur des anomalies physiques.,Troubles psychologiques,Maladie,#ce92b16,dysmorphophobie-03,Adulte / Enfant,Traumatisme,Ancien,http://fr.wikipedia.org/wiki/Dysmorphophobie,Oui,10,Oui,10,Oui,10,27,1
Ecclesiophobie,Peur des églises.,Troubles psychologiques,Mythe et religion,#c3b768,ecclesiophobie-94,Adulte / Enfant,Inconnu,Ancien,http://www.vaincre-phobie.com/550-ecclesiophobie-peur-des-eglises.html,Non,20,Oui,10,Non,20,1,4
Émétophobie,Peur de vomir.,Troubles psychologiques,Maladie,#ce92b17,emetophobie-10,Adulte / Enfant,Traumatisme,Ancien,http://www.fr.wikipedia.org/wiki/Émétophobie,Oui,10,Oui,10,Oui,10,16,1
Entomophobie,Peur des insectes.,Phobies animales,Maladie,#915633,entomophobie-53,Adulte / Enfant,Traumatisme / Inconnu,Ancien,http://www.vaincre-phobie.com/592-entomophobie-peur-des-insectes.html,Non,20,Oui,10,Oui,10,1,3
Epistaxiophobie,Peur des saignements de nez.,Troubles psychologiques,Maladie,#ce92b18,epistaxiophobie-90,Adulte / Enfant,Traumatisme,Ancien,http://www.vaincre-phobie.com/551-epistaxiophobie-peur-des-saignements-de-nez.html,Non,20,Oui,10,Non,20,1,4
Éreutophobie,Peur de rougir en public.,Troubles psychologiques,Social,#c4a67a,ereutophobie-34,Adulte,Inconnu,Moderne,http://fr.wikipedia.org/wiki/Éreutophobie,Oui,10,Oui,10,Oui,10,3,2
Fumiphobie,Peur de la fumée (tabac par exemple),Troubles psychologiques,Social,#c4a67a,fumiphobie-101,Adulte,Inconnu,Moderne,http://wordinfo.info/unit/4382?letter=C&amp;spage=5,Non,20,Non,20,Non,20,1,4
Géphyrophobie,Peur des ponts (ou de traverser les ponts).,Troubles psychologiques,Inclassable,#aec4c1,gephyrophobie-30,Adulte / Enfant,Traumatisme,Ancien,http://fr.wikipedia.org/wiki/Géphyrophobie,Oui,10,Oui,10,Oui,10,6,2
Gérascophobie,Peur de vieillir.,Troubles psychologiques,Social,#c4a67a,gerascophobie-102,Adulte,Inconnu,Moderne,http://inhsevlm-1l1-lyc-colbert-annee2011.blogspot.fr/2011/03/la-gerascophobie.html,Non,20,Non,20,Non,20,1,4
Glossophobie,Peur de parler en public.,Troubles psychologiques,Social,#c4a67a,glossophobie-16,Adulte / Enfant,Inconnu,Moderne,http://fr.wikipedia.org/wiki/Glossophobie,Oui,10,Oui,10,Oui,10,9,1
Graphophobie,Peur de l'écriture (fait d'écrire).,Troubles psychologiques,Social,#c4a67a,graphophobie-103,Adulte,Traumatisme,Moderne,http://www.vaincre-phobie.com/557-graphophobie-peur-d-ecrire.html,Non,20,Oui,10,Non,20,1,4
Gymnophobie,Peur de la nudité.,Troubles psychologiques,Social,#c4a67a,gymnophobie-41,Adulte,Inconnu,Ancien,http://fr.wikipedia.org/wiki/Gymnophobie,Oui,10,Oui,10,Non,20,10,3
Halitophobie,Peur d'avoir mauvaise haleine.,Troubles psychologiques,Maladie,#ce92b19,halitophobie-91,Adulte,Traumatisme,Moderne,http://www.sso.ch/doc/doc_download.cfm?uuid=9559D589D9D9424C49CCF9B8ABFF6C15&&IRACER_AUTOLINK,Non,20,Oui,10,Oui,10,1,4
Haptophobie,Peur d'être touché.,Troubles psychologiques,Social,#c4a67a,haptophobie-27,Adulte,Traumatisme,Moderne,http://www.signesetsens.com/psycho-quest-ce-que-lhaptophobie.html,Oui,10,Non,20,Oui,10,10,2
Hématophobie,Peur du contact et de la vue du sang.,Troubles psychologiques,Maladie,#ce92b20,hematophobie-05,Adulte / Enfant,Traumatisme,Ancien,http://fr.wikipedia.org/wiki/Hématophobie,Oui,10,Oui,10,Oui,10,24,1
Herpétophobie,Peur des reptiles ou amphibiens.,Phobies animales,Maladie,#915634,herpetophobie-42,Adulte / Enfant,Traumatisme / Inconnu,Ancien,http://www.vaincre-phobie.com/593-herpetophobie-peur-des-reptiles.html,Non,20,Oui,10,Non,20,9,3
Hippophobie,Peur des chevaux.,Phobies animales,Maladie,#915635,hippophobie-79,Adulte / Enfant,Traumatisme / Inconnu,Ancien,http://fr.wiktionary.org/wiki/hippophobie,Non,20,Non,20,Non,20,1,4
Hylophobie,Peur des forêts.,Troubles psychologiques,Elements naturels,#49684a,hylophobie-48,Adulte / Enfant,Traumatisme,Ancien,http://fr.wikipedia.org/wiki/Hylophobie,Oui,10,Oui,10,Non,20,3,3
Hypégiaphobie,Peur des responsabilités.,Troubles psychologiques,Social,#c4a67a,hypegiaphobie-104,Adulte,Inconnu,Moderne,http://www.vaincre-phobie.com/562-hypegiaphobie-peur-des-responsabilites.html,Non,20,Oui,10,Non,20,1,4
Ichthyophobie,Peur des poissons.,Phobies animales,Maladie,#915636,ichthyophobie-54,Adulte / Enfant,Traumatisme / Inconnu,Ancien,http://www.vaincre-phobie.com/594-ichthyophobie-peur-des-poissons.html,Non,20,Oui,10,Oui,10,1,3
Ithyphallophobie,Peur de voir des pénis en érection.,Troubles psychologiques,Inclassable,#aec4c2,ithyphallophobie-84,Adulte,Traumatisme,Moderne,http://www.medisite.fr/troubles-psychologiques-les-phobies-les-plus-bizarres.61582.107.html?page=0%2C5,Non,20,Oui,10,Non,20,1,4
Katagélophobie,Peur du ridicule.,Troubles psychologiques,Social,#c4a67a,katagelophobie-105,Adulte,Traumatisme,Moderne,http://fr.wiktionary.org/wiki/katagélophobie,Non,20,Non,20,Non,20,1,4
Kénophobie,Peur de l'obscurité.,Troubles psychologiques,Obscurité,#19264c,kenophobie-97,Enfant,Traumatisme,Ancien,http://fr.wiktionary.org/wiki/kénophobie,Non,20,Non,20,Non,20,1,4
Leucosélophobie,Peur de la page blanche (blocage de l'écrivain).,Troubles psychologiques,Social,#c4a67a,leucoselophobie-25,Adulte,Inconnu,Ancien,http://fr.wikipedia.org/wiki/Blocage_de_l%27écrivain,Oui,10,Non,20,Non,20,15,2
Maskaphobie,Peur des masques.,Troubles psychologiques,Mythe et religion,#c3b769,maskaphobie-95,Adulte,Inconnu,Ancien,http://www.vaincre-phobie.com/565-maskaphobie-peur-des-masques.html,Non,20,Oui,10,Non,20,1,4
Musicophobie,Peur de la musique.,Troubles psychologiques,Inclassable,#aec4c3,musicophobie-85,Adulte,Inconnu,Moderne,http://www.vaincre-phobie.com/566-musicophobie-peur-de-la-musique.html,Non,20,Oui,10,Non,20,1,4
Musophobie,Peur des souris et rats.,Phobies animales,Maladie,#915637,musophobie-55,Adulte / Enfant,Traumatisme / Inconnu,Ancien,http://www.vaincre-phobie.com/595-musophobie-peur-des-souris-ou-des-rats.html,Non,20,Oui,10,Oui,10,1,3
Mycophobie,Peur des champignons.,Troubles psychologiques,Elements naturels,#49684a,mycophobie-81,Adulte / Enfant,Inconnu,Moderne,http://www.vaincre-phobie.com/567-mycophobie-peur-des-champignons.html,Non,20,Oui,10,Non,20,1,4
Myrmécophobie,Peur des fourmis.,Phobies animales,Maladie,#915638,myrmecophobie-56,Adulte / Enfant,Traumatisme / Inconnu,Ancien,http://www.vaincre-phobie.com/596-myrmecophobie-peur-des-fourmis.html,Non,20,Oui,10,Oui,10,1,3
Mysophobie,"Peur de la saleté, de la contamination par les microbes.",Troubles psychologiques,Maladie,#ce92b21,mysophobie-11,Adulte / Enfant,Inconnu,Moderne,http://fr.wikipedia.org/wiki/Mysophobie,Oui,10,Oui,10,Oui,10,16,1
Nécrophobie,Peur des cadavres.,Troubles psychologiques,Maladie,#ce92b22,necrophobie-26,Adulte / Enfant,Inconnu,Ancien,http://fr.wikipedia.org/wiki/Nécrophobie,Oui,10,Non,20,Non,20,14,2
Nomophobie,Peur d'être séparé de son téléphone portable.,Troubles psychologiques,Social,#c4a67a,nomophobie-23,Adulte,Inconnu,Moderne,http://fr.wikipedia.org/wiki/Nomophobie,Oui,10,Non,20,Oui,10,17,2
Nosocomephobie,"Peur des hôpitaux, cliniques et centres de soin en général.",Troubles psychologiques,Maladie,#ce92b23,nosocomephobie-52,Adulte / Enfant,Traumatisme,Moderne,http://fr.wikipedia.org/wiki/Nosocomephobie,Oui,10,Non,20,Non,20,2,3
Nosophobie,"Peur de la maladie, d'être malade.",Troubles psychologiques,Maladie,#ce92b24,nosophobie-28,Adulte / Enfant,Inconnu,Ancien,http://fr.wikipedia.org/wiki/Nosophobie,Oui,10,Non,20,Non,20,9,2
Nyctophobie,Peur du noir.,Troubles psychologiques,Obscurité,#19264c,nyctophobie-12,Enfant,Inconnu,Ancien,http://fr.wikipedia.org/wiki/Nyctophobie,Oui,10,Oui,10,Oui,10,15,1
Ochlophobie,Peur de la foule.,Troubles psychologiques,Social,#c4a67a,ochlophobie-45,Adulte,Inconnu,Moderne,http://fr.wikipedia.org/wiki/Ochlophobie,Oui,10,Non,20,Non,20,6,3
Ophiophobie,Peur des serpents.,Phobies animales,Maladie,#915639,ophiophobie-09,Adulte / Enfant,Traumatisme / Inconnu,Ancien,http://www.vaincre-phobie.com/597-ophiophobie-peur-des-serpents.html,Oui,10,Oui,10,Oui,10,18,1
Ornithophobie,Peur des oiseaux.,Phobies animales,Maladie,#915640,ornithophobie-57,Adulte / Enfant,Traumatisme / Inconnu,Ancien,http://www.linternaute.com/dictionnaire/fr/definition/ornithophobie/,Non,20,Oui,10,Oui,10,1,3
Pantophobie,Peur de tout.,Troubles psychologiques,Inclassable,#aec4c4,pantophobie-86,Adulte / Enfant,Traumatisme,Moderne,http://www.medisite.fr/troubles-psychologiques-les-phobies-les-plus-bizarres.61582.107.html?page=0%2C7,Non,20,Non,20,Non,20,1,4
Pédiophobie,Peur des poupées (aussi : peur des enfants).,Troubles psychologiques,Objet,#821b24,pediophobie-32,Adulte,Traumatisme,Moderne,http://www.vaincre-phobie.com/574-pediophobie-peur-des-poupees.html,Oui,10,Oui,10,Oui,10,4,2
Phagophobie,Peur de s'étouffer avec des aliments.,Troubles psychologiques,Maladie,#ce92b25,phagophobie-89,Adulte / Enfant,Traumatisme,Ancien,http://www.vulgaris-medical.com/encyclopedie-medicale/phagophobie,Non,20,Non,20,Non,20,1,4
Phasmophobie,Peur des fantômes.,Troubles psychologiques,Mythe et religion,#c3b770,phasmophobie-66,Adulte / Enfant,Traumatisme,Ancien,http://www.vaincre-phobie.com/572-phasmophobie-peur-des-fantomes.html,Non,20,Oui,10,Oui,10,1,3
Phobie de type sang-injection-blessure,Sous-type de phobies spécifiques classifié dans le DSM-IV.,Troubles psychologiques,Inclassable,#aec4c5,phobie-sang-49,Adulte / Enfant,Inconnu,Moderne,http://fr.wikipedia.org/wiki/Phobie_de_type_sang-injection-blessure,Oui,10,Non,20,Non,20,3,3
Phobie sociale,Peur des ou de certaines situations sociales.,Troubles psychologiques,Social,#c4a67a,phobie-sociale-38,Adulte / Enfant,Inconnu,Ancien,http://fr.wikipedia.org/wiki/Phobie_sociale,Oui,10,Non,20,Non,20,35,3
Phobophobie,Peur d'avoir peur (d'être surpris).,Troubles psychologiques,Social,#c4a67a,phobophobie-72,Adulte,Traumatisme,Moderne,http://www.vaincre-phobie.com/573-phobophobie-peur-d-avoir-peur.html,Non,20,Oui,10,Oui,10,1,3
Pogonophobie,Aversion envers les barbes / Phobie des poils du menton et des joues.,Troubles psychologiques,Social,#c4a67a,pogonophobie-100,Adulte,Inconnu,Ancien,http://perinet.blogspirit.com/archive/2006/07/06/pongonophobie.html,Non,20,Non,20,Non,20,1,4
Psychopathophobie,Peur de devenir fou.,Troubles psychologiques,Maladie,#ce92b26,psychopathophobie-65,Adulte,Inconnu,Moderne,http://www.vaincre-phobie.com/575-psychopathophobie-peur-de-devenir-fou.html,Non,20,Oui,10,Oui,10,1,3
Pyrophobie,Peur du feu.,Troubles psychologiques,Elements naturels,#49684a,pyrophobie-36,Adulte,Inconnu,Ancien,http://www.vaincre-phobie.com/576-pyrophobie-peur-du-feu.html,Oui,10,Oui,10,Oui,10,2,2
Scopophobie,Peur du regard des autres.,Troubles psychologiques,Social,#c4a67a,scopophobie-29,Adulte / Enfant,Traumatisme,Ancien,http://fr.wikipedia.org/wiki/Scopophobie,Oui,10,Oui,10,Oui,10,7,2
Sélénophobie,Peur de la lune.,Troubles psychologiques,Elements naturels,#49684a,selenophobie-82,Adulte,Inconnu,Ancien,http://common-phobias.com/Seleno/phobia.htm,Non,20,Non,20,Non,20,1,4
Sidérodromophobie,Peur de voyager en train.,Troubles psychologiques,Transport,#404100,siderodromophobie-74,Adulte,Traumatisme,Moderne,http://www.vaincre-phobie.com/578-siderodromophobie-peur-de-voyager-en-train.html,Non,20,Oui,10,Oui,10,1,3
Squalophobie,Peur des requins.,Phobies animales,Maladie,#915641,squalophobie-58,Adulte / Enfant,Traumatisme / Inconnu,Ancien,http://fr.wiktionary.org/wiki/squalophobie,Non,20,Non,20,Oui,10,1,3
Stasophobie,Peur d'avoir à rester debout.,Troubles psychologiques,Inclassable,#aec4c6,stasophobie-87,Adulte,Traumatisme,Ancien,http://bipolairemd2008.forum-actif.eu/t7049-les-phobies-les-plus-bizarres,Non,20,Non,20,Non,20,1,4
Taphophobie,Peur des tombes ou d'être enterré vivant.,Troubles psychologiques,Maladie,#ce92b27,taphophobie-92,Adulte / Enfant,Traumatisme,Ancien,http://diaporamas.doctissimo.fr/psychologie/phobies-insolites/phobies-insolites-taphophobie.html,Non,20,Non,20,Non,20,1,4
Téléphonophobie,Peur de répondre au téléphone.,Troubles psychologiques,Social,#c4a67a,telephonophobie-35,Adulte / Enfant,Traumatisme,Moderne,http://www.vaincre-phobie.com/580-telephonophobie-peur-de-repondre-au-telephone.html,Oui,10,Oui,10,Oui,10,3,2
Tératophobie,Peur des monstres.,Troubles psychologiques,Mythe et religion,#c3b771,teratophobie-96,Enfant,Traumatisme,Ancien,http://fr.wiktionary.org/wiki/t%C3%A9ratophobie,Non,20,Non,20,Oui,10,1,4
Thalassophobie,Peur de la mer.,Troubles psychologiques,Elements naturels,#49684a,thalassophobie-46,Adulte / Enfant,Traumatisme,Ancien,http://www.linternaute.com/dictionnaire/fr/definition/thalassophobie/,Oui,10,Non,20,Non,20,5,3
Thanatophobie,Peur de la mort.,Troubles psychologiques,Maladie,#ce92b28,thanatophobie-33,Adulte / Enfant,Inconnu,Ancien,http://www.vaincre-phobie.com/583-thanatophobie-peur-de-la-mort.html,Oui,10,Oui,10,Oui,10,3,2
Théophobie,Peur de Dieu.,Troubles psychologiques,Mythe et religion,#c3b772,theophobie-67,Adulte,Inconnu,Ancien,http://fr.wiktionary.org/wiki/th%C3%A9ophobie,Non,20,Non,20,Oui,10,1,3
Tokophobie,Peur d'accoucher.,Troubles psychologiques,Maladie,#ce92b29,tokophobie-44,Adulte,Traumatisme,Ancien,http://www.passeportsante.net/fr/Actualites/Dossiers/DossierComplexe.aspx?doc=briser-tabou-peur-accouchement-p3,Non,20,Non,20,Oui,10,7,3
Trichophobie,Peur des poils et de la pilosité.,Troubles psychologiques,Social,#c4a67a,trichophobie-106,Adulte,Inconnu,Moderne,http://fr.wiktionary.org/wiki/trichophobie,Non,20,Non,20,Non,20,1,4
Trypophobie,Peur des trous.,Troubles psychologiques,Elements naturels,#49684a,trypophobie-80,Adulte / Enfant,Traumatisme,Ancien,http://www.maxisciences.com/phobie/trypophobie-ou-la-peur-des-petits-trous_art30659.html,Non,20,Non,20,Non,20,1,4
Zoophobie,Peur générale des animaux.,Phobies animales,Maladie,#915642,zoophobie-21,Adulte / Enfant,Traumatisme / Inconnu,Ancien,http://fr.wikipedia.org/wiki/Zoophobie,Oui,10,Oui,10,Non,20,20,2
